name;description;latinName;family;class;size;weight;rangeContinent;rangeCountry
nijlpaard;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
olifant;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
os;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
paard;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
panter;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
papegaai;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
pauw;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
pelikaan;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
pinguin;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
pitbull;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
poes;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
pony;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
purperslak;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
raaf;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
ram;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
rat;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
ree;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
reiger;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
reptiel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
roofvogel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
rund;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
salamander;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
schaap (sch);Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
schildpad;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
slak;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
slang;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
steenbok;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
tijger;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
tor;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
uil;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
varaan;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
varken;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vink;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vis;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vlinder;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vlo;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vogel;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vos;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
vuurvlieg;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
walrus;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
water;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
wolf;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
zebra;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
zeeleeuw;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
zeerob;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
zwaan;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
zwijn;Dit dier heeft nog geen omschrijving.;Dit dier heeft nog geen latijnse naam.;Dit dier heeft nog geen familie.;Dit dier heeft nog geen klasse.;Dit dier heeft nog geen hoogte.;Dit dier heeft nog geen gewicht.;Dit dier komt vast wel op continenten voor.;Dit dier komt vast wel in landen voor.
